naslov,opis,type,stevilo_epizod,ocena,start_date,end_date,stevilo_glasov,rating
&quot;0&quot;,This music video tells how a shy girl with a secret love and curiosity about what surrounds her works.,Music,1,4.79,10-23-13,10-23-13,"2,544",G
"&quot;Aesop&quot; no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",Based on Aesop&#039;s Fables.,Movie,1,5.66,03-21-70,03-21-70,266,PG
&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi,"Short episode bundled with the limited edition release of &quot;Bungaku Shoujo&quot; Minarai no, Shoushin.",OVA,1,6.96,12-26-09,12-26-09,"16,879",PG-13
&quot;Bungaku Shoujo&quot; Memoire,Episodes which depict the background stories of &quot;Bungaku Shoujo&quot; Movie&#039;s main heroines.,OVA,3,7.41,06-25-10,12-24-10,"23,339",PG-13
&quot;Bungaku Shoujo&quot; Movie,"The protagonist of the story, Konoha Inoue, is a seemingly normal senior high 2nd year student. His high school life, other than a hinted incident 2 years ago, can be summed up as normal- if one can d...<a href=""https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie"">read more.</a>",Movie,1,7.49,05-01-10,05-01-10,"53,368",PG-13
&quot;Calpis&quot; Hakkou Monogatari,"A Calpis (Calpico in the US) commissioned short about the history of the company and how their product is made today. A few scenes use live-action footage. The short is animated by Takaharu Shimizu wh...<a href=""https://myanimelist.net/anime/38045/Calpis_Hakkou_Monogatari"">read more.</a>",ONA,1,5.06,04-20-18,04-20-18,257,G
&quot;Eiji&quot;,"Legendary boxer Keijiro Akagi&#039;s second son, Eiji, is a high school dropout and the world&#039;s worst rock guitarist. Though his father and elder brother are both boxers, he hates the sport but suddenly ta...<a href=""https://myanimelist.net/anime/6076/Eiji"">read more.</a>",OVA,1,5.85,08-25-90,08-25-90,"1,508",R
&quot;Eikou Naki Tensai-tachi&quot; Kara no Monogatari,"An anime/documentary series about athletes present by NHK. The first episode adapts material from Tomoyoshi Itou and Shingo Morita&#039;s Weekly Young Jump biographical manga Eikou Naki Tensai-tachi (Geniu...<a href=""https://myanimelist.net/anime/35025/Eikou_Naki_Tensai-tachi_Kara_no_Monogatari"">read more.</a>",TV,2,0.00,03-25-17,05-28-17,468,G
&quot;Eiyuu&quot; Kaitai,"Uro Yamada works as part of the &quot;Hero Retirement and Return to Everyday Life Assistance Agency,&quot; which takes heroes from another world back to Earth and helps them reintegrate into everyday life. (Sou...<a href=""https://myanimelist.net/anime/33363/Eiyuu_Kaitai"">read more.</a>",OVA,1,6.10,11-23-16,11-23-16,"2,846",PG-13
&quot;Kinako&quot; x Mameshiba Movie,"A collaboration between Mameshiba and Kinako, a 2010 Japanese film based on a true story of a dog trainer, meant to promote the latter&#039;s release the following month.",Special,1,5.72,07-06-10,07-06-10,225,G
&quot;Kiss Dekiru Gyoza&quot; x Mameshiba Movie,"Two televised specials collaborating the Mameshiba franchise and the feature film Kiss Dekiru Gyoza being released June 2018. The film is about Yoko Fujita as a single mother who goes through a divorc...<a href=""https://myanimelist.net/anime/37843/Kiss_Dekiru_Gyoza_x_Mameshiba_Movie"">read more.</a>",Special,2,5.06,04-??-18,04-??-18,241,G
